Date,Item,Value
2015-01-12,ISONE - Other,20886
2015-01-12,ISONE - PeakLoad,18750
2015-01-12,ISONE - Residual Oil,9832
2015-01-12,ISONE - Solar Thermal,140
2015-01-12,ISONE - Total Generation,306221
2015-01-12,ISONE - Wind,4704
2015-01-12,MISO - PeakLoad,94312
2015-01-12,NYISO - PeakLoad,22559
2015-01-12,PJM - PeakLoad,114786
2015-01-12,SPP - Coal,403448
2015-01-12,SPP - Diesel,0
2015-01-12,SPP - Hydro,3299
2015-01-12,SPP - Natural Gas,153025
2015-01-12,SPP - Nuclear Power,60996
2015-01-12,SPP - PeakLoad,32918
2015-01-12,SPP - Total Generation,722467
2015-01-12,SPP - Wind,101700
2015-01-13,AESO - PeakLoad,10698
2015-01-13,BPA - PeakLoad,7801
2015-01-13,CAISO - Biogas,4050.0
2015-01-13,CAISO - Biomass,7537.0
2015-01-13,CAISO - Geothermal Steam,25582.0
2015-01-13,CAISO - Hydro,33313.0
2015-01-13,CAISO - Nuclear Power,54362.0
2015-01-13,CAISO - PeakLoad,29101
2015-01-13,CAISO - Power Imports,192175.0
2015-01-13,CAISO - Solar PV,24402.0
2015-01-13,CAISO - Solar Thermal,423.0
2015-01-13,CAISO - Thermal Power,246662.0
2015-01-13,CAISO - Total Generation,598704.0
2015-01-13,CAISO - Wind,10198.0
2015-01-13,ERCOT - PeakLoad,49869
2015-01-13,IESO - Biofuel,1412.0
2015-01-13,IESO - Hydro,115890.0
2015-01-13,IESO - Natural Gas,98325.0
2015-01-13,IESO - Nuclear Power,264668.0
2015-01-13,IESO - PeakLoad,21028
2015-01-13,IESO - Total Generation,498167.0
2015-01-13,IESO - Wind,17872.0
2015-01-13,ISONE - Coal,31652
2015-01-13,ISONE - Hydro,26890
2015-01-13,ISONE - Natural Gas,122654
2015-01-13,ISONE - Nuclear Power,96974
2015-01-13,ISONE - Other,20890
2015-01-13,ISONE - PeakLoad,19622
2015-01-13,ISONE - Residual Oil,16598
2015-01-13,ISONE - Solar Thermal,1010
2015-01-13,ISONE - Total Generation,322235
2015-01-13,ISONE - Wind,5567
2015-01-13,MISO - PeakLoad,97698
2015-01-13,NYISO - PeakLoad,23668
2015-01-13,PJM - PeakLoad,122114
2015-01-13,SPP - Coal,426778
2015-01-13,SPP - Diesel,0
2015-01-13,SPP - Hydro,2977
2015-01-13,SPP - Natural Gas,218320
2015-01-13,SPP - Nuclear Power,61030
2015-01-13,SPP - PeakLoad,34140
2015-01-13,SPP - Total Generation,731843
2015-01-13,SPP - Wind,22738
2015-01-14,AESO - PeakLoad,10584
2015-01-14,BPA - PeakLoad,8167
2015-01-14,CAISO - Biogas,4029.0
2015-01-14,CAISO - Biomass,7661.0
2015-01-14,CAISO - Geothermal Steam,25636.0
2015-01-14,CAISO - Hydro,36299.0
2015-01-14,CAISO - Nuclear Power,54388.0
2015-01-14,CAISO - PeakLoad,29498
2015-01-14,CAISO - Power Imports,191126.0
2015-01-14,CAISO - Solar PV,28181.0
2015-01-14,CAISO - Solar Thermal,1483.0
2015-01-14,CAISO - Thermal Power,251337.0
2015-01-14,CAISO - Total Generation,601353.0
2015-01-14,CAISO - Wind,1213.0
2015-01-14,ERCOT - PeakLoad,49727
2015-01-14,IESO - Biofuel,1649.0
2015-01-14,IESO - Hydro,109918.0
2015-01-14,IESO - Natural Gas,113071.0
2015-01-14,IESO - Nuclear Power,263368.0
2015-01-14,IESO - PeakLoad,20784
2015-01-14,IESO - Total Generation,495639.0
2015-01-14,IESO - Wind,7633.0
2015-01-14,ISONE - Coal,33022
2015-01-14,ISONE - Hydro,25477
2015-01-14,ISONE - Natural Gas,134867
2015-01-14,ISONE - Nuclear Power,96982
2015-01-14,ISONE - Other,21013
