Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-07-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-31,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-08-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
