Date,item,value,region
01/02/2016,CONUS - Balance,-29859.054100000023,Conus
01/03/2016,CONUS - Balance,-25871.760779999997,Conus
01/04/2016,CONUS - Balance,-38488.451799999995,Conus
01/05/2016,CONUS - Balance,-46315.11206999999,Conus
01/06/2016,CONUS - Balance,-32662.023069999996,Conus
01/07/2016,CONUS - Balance,-19965.621060000005,Conus
01/08/2016,CONUS - Balance,-19978.350059999997,Conus
01/09/2016,CONUS - Balance,-10772.651029999994,Conus
01/10/2016,CONUS - Balance,-23961.570030000003,Conus
01/11/2016,CONUS - Balance,-35161.259730000005,Conus
01/12/2016,CONUS - Balance,-27742.328030000004,Conus
01/13/2016,CONUS - Balance,-32971.3707,Conus
01/14/2016,CONUS - Balance,-12687.387999999992,Conus
01/15/2016,CONUS - Balance,-7811.310999999987,Conus
01/16/2016,CONUS - Balance,-9559.967100000009,Conus
01/17/2016,CONUS - Balance,-28353.639240000004,Conus
01/18/2016,CONUS - Balance,-43134.922370000015,Conus
01/19/2016,CONUS - Balance,-37469.25150000001,Conus
01/20/2016,CONUS - Balance,-25223.454599999997,Conus
01/21/2016,CONUS - Balance,-19110.29269999999,Conus
01/22/2016,CONUS - Balance,-25888.798800000004,Conus
01/23/2016,CONUS - Balance,-33309.9219,Conus
01/24/2016,CONUS - Balance,-26530.297069999986,Conus
01/25/2016,CONUS - Balance,-17393.639160000006,Conus
01/26/2016,CONUS - Balance,-14800.542300000001,Conus
01/27/2016,CONUS - Balance,-18328.536430000007,Conus
01/28/2016,CONUS - Balance,-16516.302530000015,Conus
01/29/2016,CONUS - Balance,-14975.221659999996,Conus
01/30/2016,CONUS - Balance,-2100.8797699999996,Conus
01/31/2016,CONUS - Balance,3128.697100000005,Conus
02/01/2016,CONUS - Balance,-1382.8480199999904,Conus
02/02/2016,CONUS - Balance,-9913.027119999999,Conus
02/03/2016,CONUS - Balance,-10831.696260000012,Conus
02/04/2016,CONUS - Balance,-14788.121360000005,Conus
02/05/2016,CONUS - Balance,-18352.24446,Conus
02/06/2016,CONUS - Balance,-13624.618600000002,Conus
02/07/2016,CONUS - Balance,-8477.3937,Conus
02/08/2016,CONUS - Balance,-15339.605830000015,Conus
02/09/2016,CONUS - Balance,-24116.779550000007,Conus
02/10/2016,CONUS - Balance,-25120.79976000001,Conus
02/11/2016,CONUS - Balance,-25139.061199999996,Conus
02/12/2016,CONUS - Balance,-26011.31629999999,Conus
02/13/2016,CONUS - Balance,-33615.95240000001,Conus
02/14/2016,CONUS - Balance,-32818.4755,Conus
02/15/2016,CONUS - Balance,-13715.632660000003,Conus
02/16/2016,CONUS - Balance,391.9918400000024,Conus
02/17/2016,CONUS - Balance,-4518.759720000002,Conus
02/18/2016,CONUS - Balance,-5237.2619600000035,Conus
02/19/2016,CONUS - Balance,1597.2022200000065,Conus
02/20/2016,CONUS - Balance,6893.826679999998,Conus
02/21/2016,CONUS - Balance,1454.588149999996,Conus
02/22/2016,CONUS - Balance,-3311.140400000004,Conus
02/23/2016,CONUS - Balance,-7493.529620000001,Conus
02/24/2016,CONUS - Balance,-4599.968149999986,Conus
02/25/2016,CONUS - Balance,-7304.7409999999945,Conus
02/26/2016,CONUS - Balance,-16214.149539999999,Conus
02/27/2016,CONUS - Balance,-5505.931049999999,Conus
02/28/2016,CONUS - Balance,5936.452399999995,Conus
02/29/2016,CONUS - Balance,3405.1388799999986,Conus
03/01/2016,CONUS - Balance,-3774.934659999999,Conus
03/02/2016,CONUS - Balance,-10800.457900000009,Conus
03/03/2016,CONUS - Balance,-12430.436730000016,Conus
03/04/2016,CONUS - Balance,-10785.41625000001,Conus
03/05/2016,CONUS - Balance,-4944.368499999982,Conus
03/06/2016,CONUS - Balance,-56.70132999999623,Conus
03/07/2016,CONUS - Balance,2656.408340000009,Conus
03/08/2016,CONUS - Balance,7058.584600000002,Conus
03/09/2016,CONUS - Balance,8396.244070000015,Conus
03/10/2016,CONUS - Balance,8163.894540000008,Conus
03/11/2016,CONUS - Balance,5856.648010000019,Conus
03/12/2016,CONUS - Balance,6090.823470000018,Conus
03/13/2016,CONUS - Balance,8751.642940000005,Conus
03/14/2016,CONUS - Balance,5873.282100000011,Conus
03/15/2016,CONUS - Balance,5508.502869999997,Conus
03/16/2016,CONUS - Balance,8037.242800000007,Conus
03/17/2016,CONUS - Balance,5649.932700000019,Conus
03/18/2016,CONUS - Balance,2203.855629999991,Conus
03/19/2016,CONUS - Balance,-202.55144999998447,Conus
03/20/2016,CONUS - Balance,-5489.897539999991,Conus
03/21/2016,CONUS - Balance,-4018.8316300000006,Conus
03/22/2016,CONUS - Balance,5405.092000000004,Conus
03/23/2016,CONUS - Balance,8338.607210000002,Conus
03/24/2016,CONUS - Balance,3829.6511400000018,Conus
03/25/2016,CONUS - Balance,3496.7337499999994,Conus
03/26/2016,CONUS - Balance,3345.0879700000078,Conus
03/27/2016,CONUS - Balance,7164.622900000002,Conus
03/28/2016,CONUS - Balance,3977.5158000000083,Conus
03/29/2016,CONUS - Balance,3376.513730000006,Conus
03/30/2016,CONUS - Balance,4868.811639999985,Conus
03/31/2016,CONUS - Balance,9854.808569999994,Conus
04/01/2016,CONUS - Balance,7593.711479999998,Conus
04/02/2016,CONUS - Balance,4739.169399999999,Conus
04/03/2016,CONUS - Balance,5480.065310000005,Conus
04/04/2016,CONUS - Balance,2218.29724,Conus
04/05/2016,CONUS - Balance,-3256.8388600000035,Conus
04/06/2016,CONUS - Balance,3442.108070000002,Conus
04/07/2016,CONUS - Balance,6618.021999999997,Conus
04/08/2016,CONUS - Balance,1816.0908999999956,Conus
04/09/2016,CONUS - Balance,-3425.225170000005,Conus
04/10/2016,CONUS - Balance,1878.8107400000008,Conus
04/11/2016,CONUS - Balance,5540.141660000008,Conus
04/12/2016,CONUS - Balance,3891.0085700000054,Conus
04/13/2016,CONUS - Balance,4207.549500000008,Conus
04/14/2016,CONUS - Balance,6859.811409999995,Conus
04/15/2016,CONUS - Balance,8317.263330000002,Conus
04/16/2016,CONUS - Balance,12497.619779999994,Conus
04/17/2016,CONUS - Balance,14121.348229999989,Conus
04/18/2016,CONUS - Balance,13084.522680000002,Conus
04/19/2016,CONUS - Balance,12098.45912,Conus
04/20/2016,CONUS - Balance,12441.721570000009,Conus
04/21/2016,CONUS - Balance,13454.83902,Conus
04/22/2016,CONUS - Balance,12410.387470000001,Conus
04/23/2016,CONUS - Balance,15752.61791,Conus
04/24/2016,CONUS - Balance,15508.154360000015,Conus
04/25/2016,CONUS - Balance,13851.689809999996,Conus
04/26/2016,CONUS - Balance,11631.566260000007,Conus
04/27/2016,CONUS - Balance,10093.932700000005,Conus
04/28/2016,CONUS - Balance,7762.040149999986,Conus
04/29/2016,CONUS - Balance,6855.539610000007,Conus
04/30/2016,CONUS - Balance,11067.435059999989,Conus
05/01/2016,CONUS - Balance,11804.823499999999,Conus
05/02/2016,CONUS - Balance,10270.503960000002,Conus
05/03/2016,CONUS - Balance,11917.396389999994,Conus
05/04/2016,CONUS - Balance,10866.452839999998,Conus
05/05/2016,CONUS - Balance,10958.754299999986,Conus
05/06/2016,CONUS - Balance,13040.286739999996,Conus
05/07/2016,CONUS - Balance,13808.855199999998,Conus
05/08/2016,CONUS - Balance,14633.98964,Conus
05/09/2016,CONUS - Balance,11266.49689000001,Conus
05/10/2016,CONUS - Balance,10317.341539999994,Conus
